key,keydown_time,keyup_time
backspace,2021-04-11 08:41:14.214144+00:00,2021-04-11 08:41:14.319898+00:00
backspace,2021-04-11 08:41:14.461548+00:00,2021-04-11 08:41:14.546180+00:00
p,2021-04-11 08:41:25.821794+00:00,2021-04-11 08:41:25.949594+00:00
o,2021-04-11 08:41:26.043599+00:00,2021-04-11 08:41:26.127360+00:00
p,2021-04-11 08:41:26.195225+00:00,2021-04-11 08:41:26.303522+00:00
enter,2021-04-11 08:41:26.633799+00:00,2021-04-11 08:41:26.721074+00:00
,,2021-04-11 08:41:27.042434+00:00,2021-04-11 08:41:27.150639+00:00
space,2021-04-11 08:41:27.363220+00:00,2021-04-11 08:41:27.494970+00:00
backspace,2021-04-11 08:41:29.637884+00:00,2021-04-11 08:41:29.731199+00:00
backspace,2021-04-11 08:41:29.831183+00:00,2021-04-11 08:41:29.900731+00:00
backspace,2021-04-11 08:41:29.996723+00:00,2021-04-11 08:41:30.063741+00:00
backspace,2021-04-11 08:41:30.168575+00:00,2021-04-11 08:41:30.238639+00:00
backspace,2021-04-11 08:41:30.354949+00:00,2021-04-11 08:41:30.445083+00:00
backspace,2021-04-11 08:41:30.628465+00:00,2021-04-11 08:41:30.717914+00:00
down,2021-04-11 08:41:31.527746+00:00,2021-04-11 08:41:31.635348+00:00
right,2021-04-11 08:41:31.769376+00:00,2021-04-11 08:41:31.880097+00:00
right,2021-04-11 08:41:31.982054+00:00,2021-04-11 08:41:32.067976+00:00
right,2021-04-11 08:41:32.136561+00:00,2021-04-11 08:41:32.226233+00:00
right,2021-04-11 08:41:32.310880+00:00,2021-04-11 08:41:32.375000+00:00
right,2021-04-11 08:41:32.457329+00:00,2021-04-11 08:41:32.522552+00:00
right,2021-04-11 08:41:32.614206+00:00,2021-04-11 08:41:32.702657+00:00
right,2021-04-11 08:41:32.778454+00:00,2021-04-11 08:41:32.864385+00:00
right,2021-04-11 08:41:32.956293+00:00,2021-04-11 08:41:33.041026+00:00
backspace,2021-04-11 08:41:33.299206+00:00,2021-04-11 08:41:33.405629+00:00
backspace,2021-04-11 08:41:33.516785+00:00,2021-04-11 08:41:33.601448+00:00
backspace,2021-04-11 08:41:34.107272+00:00,2021-04-11 08:41:34.213464+00:00
tab,2021-04-11 08:41:35.402350+00:00,2021-04-11 08:41:35.510095+00:00
enter,2021-04-11 08:41:35.714811+00:00,2021-04-11 08:41:35.798478+00:00
backspace,2021-04-11 08:41:38.846783+00:00,2021-04-11 08:41:38.870903+00:00
backspace,2021-04-11 08:41:39.111323+00:00,2021-04-11 08:41:39.205377+00:00
ctrl,2021-04-11 08:41:39.955637+00:00,2021-04-11 08:41:40.192403+00:00
s,2021-04-11 08:41:40.082086+00:00,2021-04-11 08:41:40.195525+00:00
alt,2021-04-11 08:41:55.226574+00:00,2021-04-11 08:41:55.431791+00:00
tab,2021-04-11 08:41:55.383710+00:00,2021-04-11 08:41:55.496611+00:00
tab,2021-04-11 08:41:55.989605+00:00,2021-04-11 08:41:56.118032+00:00
alt,2021-04-11 08:41:55.926102+00:00,2021-04-11 08:41:56.138795+00:00
ctrl,2021-04-11 08:41:56.451686+00:00,2021-04-11 08:41:56.644808+00:00
tab,2021-04-11 08:41:56.559044+00:00,2021-04-11 08:41:56.690587+00:00
alt,2021-04-11 08:41:57.466381+00:00,2021-04-11 08:41:57.641278+00:00
tab,2021-04-11 08:41:57.577371+00:00,2021-04-11 08:41:57.706746+00:00
ctrl,2021-04-11 08:41:57.981889+00:00,2021-04-11 08:41:58.132547+00:00
ctrl,2021-04-11 08:41:58.431235+00:00,2021-04-11 08:41:58.603291+00:00
tab,2021-04-11 08:41:58.517563+00:00,2021-04-11 08:41:58.668069+00:00
tab,2021-04-11 08:41:59.359996+00:00,2021-04-11 08:41:59.493172+00:00
alt,2021-04-11 08:41:59.191579+00:00,2021-04-11 08:41:59.882865+00:00
ctrl,2021-04-11 08:42:00.202900+00:00,2021-04-11 08:42:00.420234+00:00
tab,2021-04-11 08:42:00.354895+00:00,2021-04-11 08:42:00.466769+00:00
tab,2021-04-11 08:42:01.419002+00:00,2021-04-11 08:42:01.530293+00:00
tab,2021-04-11 08:42:02.756459+00:00,2021-04-11 08:42:02.860422+00:00
tab,2021-04-11 08:42:02.965837+00:00,2021-04-11 08:42:03.072692+00:00
tab,2021-04-11 08:42:03.243595+00:00,2021-04-11 08:42:03.393131+00:00
alt,2021-04-11 08:42:01.292256+00:00,2021-04-11 08:42:03.437361+00:00
x,2021-04-11 10:37:34.646477+00:00,2021-04-11 10:37:34.796024+00:00
ctrl,2021-04-11 10:37:34.345395+00:00,2021-04-11 10:37:34.818105+00:00
z,2021-04-11 10:37:35.818790+00:00,2021-04-11 10:37:35.966468+00:00
ctrl,2021-04-11 10:37:35.689312+00:00,2021-04-11 10:37:36.074596+00:00
alt,2021-04-11 10:48:32.310946+00:00,2021-04-11 10:48:32.488426+00:00
tab,2021-04-11 10:48:32.403974+00:00,2021-04-11 10:48:32.531440+00:00
alt,2021-04-11 11:04:32.312089+00:00,2021-04-11 11:04:32.456468+00:00
tab,2021-04-11 11:04:32.371973+00:00,2021-04-11 11:04:32.519393+00:00
alt,2021-04-11 11:04:43.621920+00:00,2021-04-11 11:04:43.793561+00:00
tab,2021-04-11 11:04:43.727865+00:00,2021-04-11 11:04:43.857339+00:00
backspace,2021-04-11 11:08:47.456492+00:00,2021-04-11 11:08:47.517862+00:00
enter,2021-04-11 11:08:49.775239+00:00,2021-04-11 11:08:49.862774+00:00
backspace,2021-04-11 11:09:13.222007+00:00,2021-04-11 11:09:13.327693+00:00
backspace,2021-04-11 11:09:13.397442+00:00,2021-04-11 11:09:13.480609+00:00
2,2021-04-11 11:09:13.562913+00:00,2021-04-11 11:09:13.674120+00:00
ctrl,2021-04-11 11:09:14.027566+00:00,2021-04-11 11:09:14.244669+00:00
s,2021-04-11 11:09:14.133631+00:00,2021-04-11 11:09:14.246140+00:00
alt,2021-04-11 12:05:13.957526+00:00,2021-04-11 12:05:14.127417+00:00
tab,2021-04-11 12:05:14.062870+00:00,2021-04-11 12:05:14.191387+00:00
backspace,2021-04-11 12:10:55.337492+00:00,2021-04-11 12:10:55.400752+00:00
backspace,2021-04-11 12:10:55.529963+00:00,2021-04-11 12:10:55.571809+00:00
ctrl,2021-04-11 12:10:56.245933+00:00,2021-04-11 12:10:56.503521+00:00
s,2021-04-11 12:10:56.395256+00:00,2021-04-11 12:10:56.505241+00:00
,,2021-04-11 12:10:58.140270+00:00,2021-04-11 12:10:58.226895+00:00
ctrl,2021-04-11 12:10:58.504013+00:00,2021-04-11 12:10:58.700694+00:00
s,2021-04-11 12:10:58.615302+00:00,2021-04-11 12:10:58.722172+00:00
backspace,2021-04-11 12:13:41.515388+00:00,2021-04-11 12:13:41.642577+00:00
backspace,2021-04-11 12:13:42.088759+00:00,2021-04-11 12:13:42.196906+00:00
0,2021-04-11 12:13:46.415707+00:00,2021-04-11 12:13:46.500012+00:00
.,2021-04-11 12:13:46.754278+00:00,2021-04-11 12:13:46.865759+00:00
backspace,2021-04-11 12:13:47.934555+00:00,2021-04-11 12:13:48.019406+00:00
backspace,2021-04-11 12:13:48.095526+00:00,2021-04-11 12:13:48.160140+00:00
1,2021-04-11 12:13:48.219289+00:00,2021-04-11 12:13:48.326428+00:00
ctrl,2021-04-11 12:13:48.685997+00:00,2021-04-11 12:13:48.895803+00:00
s,2021-04-11 12:13:48.810998+00:00,2021-04-11 12:13:48.940105+00:00
alt,2021-04-11 12:13:49.202113+00:00,2021-04-11 12:13:49.346091+00:00
tab,2021-04-11 12:13:49.284548+00:00,2021-04-11 12:13:49.432790+00:00
alt,2021-04-11 12:14:45.795041+00:00,2021-04-11 12:14:45.959910+00:00
tab,2021-04-11 12:14:45.913185+00:00,2021-04-11 12:14:46.022806+00:00
alt,2021-04-11 12:15:20.246097+00:00,2021-04-11 12:15:20.441937+00:00
tab,2021-04-11 12:15:20.396314+00:00,2021-04-11 12:15:20.546074+00:00
alt,2021-04-11 12:15:25.786609+00:00,2021-04-11 12:15:25.913751+00:00
tab,2021-04-11 12:15:25.871268+00:00,2021-04-11 12:15:26.000324+00:00
alt,2021-04-11 12:15:28.573558+00:00,2021-04-11 12:15:28.710091+00:00
tab,2021-04-11 12:15:28.644748+00:00,2021-04-11 12:15:28.779928+00:00
ctrl,2021-04-11 12:16:06.224722+00:00,2021-04-11 12:16:06.537599+00:00
s,2021-04-11 12:16:06.428456+00:00,2021-04-11 12:16:06.606435+00:00
