key,keydown_time,keyup_time
m,2021-04-02 17:19:53.840161+00:00,2021-04-02 17:19:53.943878+00:00
y,2021-04-02 17:19:54.082164+00:00,2021-04-02 17:19:54.144989+00:00
space,2021-04-02 17:19:54.288225+00:00,2021-04-02 17:19:54.394964+00:00
n,2021-04-02 17:19:54.496663+00:00,2021-04-02 17:19:54.559258+00:00
a,2021-04-02 17:19:54.580199+00:00,2021-04-02 17:19:54.687906+00:00
m,2021-04-02 17:19:54.690900+00:00,2021-04-02 17:19:54.801148+00:00
e,2021-04-02 17:19:54.822997+00:00,2021-04-02 17:19:54.889821+00:00
space,2021-04-02 17:19:54.891812+00:00,2021-04-02 17:19:55.016256+00:00
i,2021-04-02 17:19:55.115944+00:00,2021-04-02 17:19:55.221816+00:00
s,2021-04-02 17:19:55.225797+00:00,2021-04-02 17:19:55.330571+00:00
space,2021-04-02 17:19:55.393546+00:00,2021-04-02 17:19:55.501509+00:00
c,2021-04-02 17:19:55.570445+00:00,2021-04-02 17:19:55.699542+00:00
h,2021-04-02 17:19:55.702543+00:00,2021-04-02 17:19:55.786406+00:00
a,2021-04-02 17:19:55.764406+00:00,2021-04-02 17:19:55.913689+00:00
m,2021-04-02 17:19:55.934631+00:00,2021-04-02 17:19:56.041510+00:00
i,2021-04-02 17:19:56.136724+00:00,2021-04-02 17:19:56.222685+00:00
n,2021-04-02 17:19:56.318788+00:00,2021-04-02 17:19:56.423526+00:00
d,2021-04-02 17:19:56.426524+00:00,2021-04-02 17:19:56.530234+00:00
y,2021-04-02 17:19:56.552172+00:00,2021-04-02 17:19:56.595098+00:00
space,2021-04-02 17:19:56.772350+00:00,2021-04-02 17:19:56.879387+00:00
backspace,2021-04-02 17:19:57.213398+00:00,2021-04-02 17:19:57.299188+00:00
backspace,2021-04-02 17:19:57.355224+00:00,2021-04-02 17:19:57.443510+00:00
u,2021-04-02 17:19:57.694382+00:00,2021-04-02 17:19:57.781180+00:00
space,2021-04-02 17:19:57.932352+00:00,2021-04-02 17:19:58.039511+00:00
n,2021-04-02 17:19:58.123394+00:00,2021-04-02 17:19:58.212618+00:00
a,2021-04-02 17:19:58.233506+00:00,2021-04-02 17:19:58.361289+00:00
y,2021-04-02 17:19:58.382512+00:00,2021-04-02 17:19:58.445480+00:00
