key,keydown_time,keyup_time
a,2021-04-11 13:45:55.841677+00:00,2021-04-11 13:45:56.016158+00:00
s,2021-04-11 13:45:55.950298+00:00,2021-04-11 13:45:56.017227+00:00
d,2021-04-11 13:45:55.993274+00:00,2021-04-11 13:45:56.102707+00:00
d,2021-04-11 13:45:56.210000+00:00,2021-04-11 13:45:56.318998+00:00
a,2021-04-11 13:45:56.123876+00:00,2021-04-11 13:45:56.341680+00:00
s,2021-04-11 13:45:56.275973+00:00,2021-04-11 13:45:56.364993+00:00
a,2021-04-11 13:45:56.454190+00:00,2021-04-11 13:45:56.564015+00:00
s,2021-04-11 13:45:56.475670+00:00,2021-04-11 13:45:56.585702+00:00
alt,2021-04-11 13:45:57.925853+00:00,2021-04-11 13:45:58.077674+00:00
tab,2021-04-11 13:45:57.991210+00:00,2021-04-11 13:45:58.121042+00:00
g,2021-04-11 13:46:18.993365+00:00,2021-04-11 13:46:19.100159+00:00
i,2021-04-11 13:46:19.122752+00:00,2021-04-11 13:46:19.231655+00:00
t,2021-04-11 13:46:19.286314+00:00,2021-04-11 13:46:19.396454+00:00
h,2021-04-11 13:46:19.503449+00:00,2021-04-11 13:46:19.590125+00:00
u,2021-04-11 13:46:19.659051+00:00,2021-04-11 13:46:19.725772+00:00
b,2021-04-11 13:46:19.819992+00:00,2021-04-11 13:46:19.905542+00:00
enter,2021-04-11 13:46:20.129930+00:00,2021-04-11 13:46:20.234688+00:00
9,2021-04-11 13:46:53.644426+00:00,2021-04-11 13:46:53.730539+00:00
1,2021-04-11 13:46:53.888731+00:00,2021-04-11 13:46:53.998017+00:00
4,2021-04-11 13:46:56.653095+00:00,2021-04-11 13:46:56.740441+00:00
3,2021-04-11 13:46:57.529280+00:00,2021-04-11 13:46:57.637827+00:00
6,2021-04-11 13:46:58.781827+00:00,2021-04-11 13:46:58.884831+00:00
0,2021-04-11 13:46:59.060179+00:00,2021-04-11 13:46:59.167029+00:00
enter,2021-04-11 13:46:59.465791+00:00,2021-04-11 13:46:59.552787+00:00
alt,2021-04-11 13:48:03.629810+00:00,2021-04-11 13:48:03.802146+00:00
tab,2021-04-11 13:48:03.738102+00:00,2021-04-11 13:48:03.867211+00:00
alt,2021-04-11 13:48:04.286941+00:00,2021-04-11 13:48:04.439465+00:00
tab,2021-04-11 13:48:04.375102+00:00,2021-04-11 13:48:04.503620+00:00
c,2021-04-11 13:48:56.268231+00:00,2021-04-11 13:48:56.420279+00:00
ctrl,2021-04-11 13:48:56.123284+00:00,2021-04-11 13:48:56.419337+00:00
ctrl,2021-04-11 13:48:56.798255+00:00,2021-04-11 13:48:57.143513+00:00
v,2021-04-11 13:48:56.991276+00:00,2021-04-11 13:48:57.145306+00:00
shift,2021-04-11 13:49:19.594341+00:00,2021-04-11 13:49:19.918829+00:00
e,2021-04-11 13:49:19.991044+00:00,2021-04-11 13:49:20.075772+00:00
x,2021-04-11 13:49:20.849365+00:00,2021-04-11 13:49:20.959527+00:00
t,2021-04-11 13:49:20.982511+00:00,2021-04-11 13:49:21.066872+00:00
L,2021-04-11 13:49:21.623007+00:00,2021-04-11 13:49:21.708477+00:00
shift,2021-04-11 13:49:21.446418+00:00,2021-04-11 13:49:21.729733+00:00
o,2021-04-11 13:49:21.787252+00:00,2021-04-11 13:49:21.874300+00:00
g,2021-04-11 13:49:22.223816+00:00,2021-04-11 13:49:22.314415+00:00
g,2021-04-11 13:49:23.096950+00:00,2021-04-11 13:49:23.203030+00:00
e,2021-04-11 13:49:23.347710+00:00,2021-04-11 13:49:23.561805+00:00
r,2021-04-11 13:49:23.473923+00:00,2021-04-11 13:49:23.584498+00:00
left,2021-04-11 13:49:27.289332+00:00,2021-04-11 13:49:27.398823+00:00
left,2021-04-11 13:49:27.482771+00:00,2021-04-11 13:49:27.546194+00:00
left,2021-04-11 13:49:27.642278+00:00,2021-04-11 13:49:27.706063+00:00
left,2021-04-11 13:49:27.792237+00:00,2021-04-11 13:49:27.860549+00:00
left,2021-04-11 13:49:27.938595+00:00,2021-04-11 13:49:28.002018+00:00
left,2021-04-11 13:49:28.085347+00:00,2021-04-11 13:49:28.153563+00:00
backspace,2021-04-11 13:49:30.938650+00:00,2021-04-11 13:49:31.024937+00:00
right,2021-04-11 13:49:48.627208+00:00,2021-04-11 13:49:48.798312+00:00
right,2021-04-11 13:49:48.859353+00:00,2021-04-11 13:49:48.946413+00:00
right,2021-04-11 13:49:49.005131+00:00,2021-04-11 13:49:49.070762+00:00
right,2021-04-11 13:49:49.147765+00:00,2021-04-11 13:49:49.233736+00:00
right,2021-04-11 13:49:49.306680+00:00,2021-04-11 13:49:49.413880+00:00
space,2021-04-11 13:49:49.720462+00:00,2021-04-11 13:49:49.763214+00:00
\\,2021-04-11 13:49:50.285004+00:00,2021-04-11 13:49:50.350201+00:00
backspace,2021-04-11 13:49:50.919642+00:00,2021-04-11 13:49:51.006770+00:00
backspace,2021-04-11 13:49:51.093274+00:00,2021-04-11 13:49:51.160030+00:00
right,2021-04-11 13:49:51.483513+00:00,2021-04-11 13:49:51.631233+00:00
space,2021-04-11 13:49:51.922045+00:00,2021-04-11 13:49:52.050480+00:00
(,2021-04-11 13:49:52.512259+00:00,2021-04-11 13:49:52.620422+00:00
shift,2021-04-11 13:49:52.362912+00:00,2021-04-11 13:49:52.643145+00:00
c,2021-04-11 13:49:53.207236+00:00,2021-04-11 13:49:53.317290+00:00
h,2021-04-11 13:49:53.356653+00:00,2021-04-11 13:49:53.422596+00:00
a,2021-04-11 13:49:53.423530+00:00,2021-04-11 13:49:53.552126+00:00
n,2021-04-11 13:49:53.553251+00:00,2021-04-11 13:49:53.641792+00:00
